Obs,Picture,Mean,Min,Max,Length.cm,Taxa,Enc,SampleSplit
16,DSC_0002.JPG,103.225,50.334,165.531,0.639,Dip.ChironomidaeL,C02,
17,DSC_0002.JPG,116.117,67.082,133.8,0.442,Dip.ChironomidaeL,C02,
18,DSC_0002.JPG,120.293,55.674,148.954,0.564,Dip.ChironomidaeL,C02,
19,DSC_0002.JPG,114.828,34.021,163.315,0.148,Dip.ChironomidaeL,C02,
20,DSC_0002.JPG,109.607,79.178,146.875,0.332,Dip.ChironomidaeL,C02,
21,DSC_0002.JPG,93.946,65.567,145.043,0.225,Dip.ChironomidaeL,C02,
22,DSC_0002.JPG,110.19,55.086,131.737,0.363,Dip.ChironomidaeL,C02,
23,DSC_0002.JPG,82.079,51.161,133.603,0.378,Dip.ChironomidaeL,C02,
24,DSC_0002.JPG,94.207,52.148,148.917,0.482,Dip.ChironomidaeL,C02,
25,DSC_0002.JPG,78.58,22.333,138.625,0.408,Dip.ChironomidaeL,C02,
26,DSC_0002.JPG,117.824,37.068,153.367,0.279,Dip.ChironomidaeL,C02,
27,DSC_0002.JPG,83.068,63.217,113.482,0.233,Dip.ChironomidaeL,C02,
28,DSC_0002.JPG,134.376,106.629,166.209,0.393,Dip.ChironomidaeL,C02,
29,DSC_0002.JPG,97.695,42,193.686,0.454,Dip.ChironomidaeL,C02,
30,DSC_0002.JPG,108.636,56.023,160.762,0.312,Dip.ChironomidaeL,C02,
31,DSC_0002.JPG,85.112,56.631,148.72,0.279,Dip.ChironomidaeL,C02,
32,DSC_0002.JPG,108.516,80.454,142.338,0.435,Dip.ChironomidaeL,C02,
33,DSC_0002.JPG,122.735,68.333,163.347,0.46,Dip.ChironomidaeL,C02,
34,DSC_0002.JPG,93.49,53.996,134.849,0.558,Dip.ChironomidaeL,C02,
35,DSC_0002.JPG,97.11,44.314,177.326,0.259,Eph.Heptageniidae,C02,
36,DSC_0002.JPG,66.127,30.042,127.906,0.711,Eph.Polymitarcyidae,C02,
37,DSC_0002.JPG,73.395,34.658,134.501,0.591,Eph.Polymitarcyidae,C02,
1,DSC_0002.JPG,101.825,63.262,163.322,0.55,Tri.Polycentropidae,C02,
2,DSC_0002.JPG,101.933,62.774,128.455,0.455,Tri.Polycentropidae,C02,
3,DSC_0002.JPG,92.088,51.458,174.841,0.538,Tri.Polycentropidae,C02,
4,DSC_0002.JPG,93.001,72.333,126.591,0.279,Tri.Polycentropidae,C02,
5,DSC_0002.JPG,102.886,67.321,135,0.477,Tri.Polycentropidae,C02,
6,DSC_0002.JPG,121.054,77.2,154.41,0.553,Tri.Polycentropidae,C02,
7,DSC_0002.JPG,97.324,70.75,120.9,0.38,Tri.Polycentropidae,C02,
8,DSC_0002.JPG,110.802,64.892,142.831,0.509,Tri.Polycentropidae,C02,
9,DSC_0002.JPG,89.138,57.784,114.095,0.553,Tri.Polycentropidae,C02,
10,DSC_0002.JPG,63.174,44.542,115.522,0.479,Col.ElmL,C02,
11,DSC_0002.JPG,53.224,34.423,143.205,0.459,Col.ElmL,C02,
12,DSC_0002.JPG,99.806,80.383,118.702,0.158,Eph.Trcorythidae,C02,
1,DSC_0002.JPG,58.763,17.396,184.622,0.561,Eph.Leptophlebiidae,C02,
2,DSC_0002.JPG,36.255,23.005,105.977,0.506,Eph.Leptophlebiidae,C02,
3,DSC_0002.JPG,96.004,52.334,178.594,0.604,Col.Gyrinidae,C02,
4,DSC_0002.JPG,58.196,20.372,181.522,1.316,Col.Gyrinidae,C02,
5,DSC_0002.JPG,78.941,43.613,155.601,0.291,Col.Gyrinidae,C02,
1,DSC_0002.JPG,66.465,39.122,83.095,0.173,Eph.Heptageniidae,E09,1
2,DSC_0002.JPG,47.781,33.036,95.785,0.368,Eph.Heptageniidae,E09,1
3,DSC_0002.JPG,40.685,31.466,71.718,0.204,Eph.Heptageniidae,E09,1
4,DSC_0002.JPG,63.706,35.487,97.533,0.221,Eph.Heptageniidae,E09,1
5,DSC_0002.JPG,52.054,27.391,99.716,0.291,Eph.Heptageniidae,E09,1
6,DSC_0002.JPG,83.685,27.02,253.824,0.461,Eph.Heptageniidae,E09,1
7,DSC_0002.JPG,45.672,24.31,131.004,0.377,Eph.Heptageniidae,E09,1
8,DSC_0002.JPG,42.261,30.997,104.667,0.217,Eph.Heptageniidae,E09,1
9,DSC_0002.JPG,54.348,28.367,138.869,0.306,Eph.Heptageniidae,E09,1
10,DSC_0002.JPG,54.47,31.559,119.993,0.196,Eph.Heptageniidae,E09,1
11,DSC_0002.JPG,37.774,22.287,65.693,0.367,Eph.Heptageniidae,E09,1
1,DSC_0002.JPG,78.231,31.466,253.718,0.309,Eph.Trcorythidae,E09,1
2,DSC_0002.JPG,54.068,30.575,125.479,0.552,Eph.Polymitarcyidae,E09,1
3,DSC_0002.JPG,30.198,10.07,219.842,0.889,Od.Damselflies,E09,1
4,DSC_0002.JPG,37.357,15.138,253.667,1.235,Od.Damselflies,E09,1
1,DSC_0002.JPG,71.323,32.636,117.586,0.54,Tri.Polycentropidae,E09,1
2,DSC_0002.JPG,61.702,30.003,204.364,0.77,Tri.Polycentropidae,E09,1
3,DSC_0002.JPG,97.532,59.384,119.432,0.494,Tri.Polycentropidae,E09,1
4,DSC_0002.JPG,69.361,44.198,117.462,0.429,Dip.ChironomidaeL,E09,1
5,DSC_0002.JPG,95.005,48.905,254.868,0.494,Dip.ChironomidaeL,E09,1
1,DSC_0002.JPG,42.542,21.755,110.667,0.348,Dip.ChironomidaeP,E09,1
2,DSC_0002.JPG,38.41,12.586,84.804,0.606,Tri.Pupa,E09,1
3,DSC_0002.JPG,67.524,34.667,225.738,0.301,Eph.Heptageniidae,E09,1
4,DSC_0002.JPG,53.266,26.871,184.32,0.634,Megaloptera.miscM,E09,1
1,DSC_0004.JPG,33.729,19.721,86.199,0.556,Od.Damselflies,E09,2
2,DSC_0004.JPG,32.644,16.385,239.145,0.771,Od.Damselflies,E09,2
3,DSC_0004.JPG,29.302,20.364,46.5,0.305,Od.Damselflies,E09,2
4,DSC_0004.JPG,58.219,39.751,114.376,0.495,Col.ElmL,E09,2
1,DSC_0004.JPG,66.843,41.065,111.66,0.266,Eph.Trcorythidae,E09,2
2,DSC_0004.JPG,82.792,53.451,115.33,0.171,Eph.Trcorythidae,E09,2
3,DSC_0004.JPG,64.162,36.196,92.406,0.421,Eph.Myst,E09,2
4,DSC_0004.JPG,84.616,72.788,133,0.337,Od.Damselflies,E09,2
1,DSC_0004.JPG,57.693,31.42,129.32,0.457,Eph.Heptageniidae,E09,2
2,DSC_0004.JPG,34.041,15.333,92.341,0.34,Eph.Heptageniidae,E09,2
3,DSC_0004.JPG,43.424,21.333,63.283,0.284,Eph.Heptageniidae,E09,2
4,DSC_0004.JPG,54.049,30.656,90.426,0.448,Eph.Heptageniidae,E09,2
5,DSC_0004.JPG,47.42,24.867,74.484,0.355,Eph.Heptageniidae,E09,2
6,DSC_0004.JPG,53.925,33.011,78.637,0.232,Eph.Heptageniidae,E09,2
7,DSC_0004.JPG,41.095,19.538,103.205,0.363,Eph.Heptageniidae,E09,2
8,DSC_0004.JPG,38.022,25.818,79.667,0.292,Eph.Heptageniidae,E09,2
1,DSC_0004.JPG,63.421,38.026,120.024,0.485,Dip.ChironomidaeL,E09,2
2,DSC_0004.JPG,79.178,54.292,99.468,0.251,Dip.ChironomidaeL,E09,2
3,DSC_0004.JPG,71.152,46.032,127.753,0.258,Oligochaeta.misc,E09,2
4,DSC_0004.JPG,65.188,48.286,100.366,0.469,Dip.ChironomidaeL,E09,2
1,DSC_0004.JPG,80.496,45.219,117.333,0.32,Dip.ChironomidaeL,E09,2
2,DSC_0004.JPG,79.347,59.826,108.355,0.303,Dip.ChironomidaeL,E09,2
3,DSC_0004.JPG,46.703,34.979,78.84,0.481,Dip.ChironomidaeL,E09,2
4,DSC_0004.JPG,51.005,33.75,105.788,0.297,Dip.ChironomidaeL,E09,2
5,DSC_0004.JPG,73.615,51.724,111.171,0.171,Eph.Heptageniidae,E09,2
1,DSC_0006.JPG,57.711,34.342,85.616,0.681,Biv.Corbicula,E09,3
2,DSC_0006.JPG,46.867,34.064,58.333,0.242,Eph.Heptageniidae,E09,3
3,DSC_0006.JPG,55.954,36.856,92.106,0.183,Eph.Heptageniidae,E09,3
4,DSC_0006.JPG,42.004,30.267,59.667,0.132,Eph.Heptageniidae,E09,3
5,DSC_0006.JPG,37.402,23.671,73.667,0.209,Eph.Heptageniidae,E09,3
6,DSC_0006.JPG,63.108,22.258,222.741,0.334,Eph.Heptageniidae,E09,3
7,DSC_0006.JPG,51.512,18.323,87.962,0.291,Eph.Heptageniidae,E09,3
8,DSC_0006.JPG,50.856,27.054,190.843,0.312,Eph.Heptageniidae,E09,3
9,DSC_0006.JPG,44.088,32.688,69.468,0.221,Eph.Heptageniidae,E09,3
10,DSC_0006.JPG,56.065,22.933,94.158,0.131,Eph.Heptageniidae,E09,3
11,DSC_0006.JPG,59.245,33.069,125.667,0.245,Eph.Heptageniidae,E09,3
12,DSC_0006.JPG,68.905,42.049,112.434,0.232,Eph.Heptageniidae,E09,3
13,DSC_0006.JPG,55.832,26.915,83.984,0.223,Eph.Heptageniidae,E09,3
14,DSC_0006.JPG,53.721,28.558,78.191,0.314,Eph.Heptageniidae,E09,3
15,DSC_0006.JPG,49.315,33.379,69.594,0.239,Eph.Heptageniidae,E09,3
16,DSC_0006.JPG,69.997,56.786,95.902,0.121,Eph.Heptageniidae,E09,3
17,DSC_0006.JPG,47.226,26.731,112.547,0.164,Eph.Heptageniidae,E09,3
1,DSC_0006.JPG,44.413,29.102,97.645,0.666,Dip.ChironomidaeL,E09,3
2,DSC_0006.JPG,70.167,43.134,128,0.395,Dip.ChironomidaeL,E09,3
3,DSC_0006.JPG,81.187,63.22,117,0.246,Dip.ChironomidaeL,E09,3
4,DSC_0006.JPG,91.182,70,109.306,0.187,Dip.ChironomidaeL,E09,3
5,DSC_0006.JPG,94.694,68.993,123.725,0.201,Dip.ChironomidaeL,E09,3
6,DSC_0006.JPG,68.755,42.091,172.089,0.369,Tri.Polycentropidae,E09,3
1,DSC_0006.JPG,74.036,59.116,80.773,0.092,Eph.Heptageniidae,E09,4
2,DSC_0006.JPG,62.422,55.699,75.934,0.085,Eph.Heptageniidae,E09,4
3,DSC_0008.JPG,55.087,32.194,100.776,0.281,Eph.Heptageniidae,E09,4
4,DSC_0008.JPG,63.745,38.504,133.251,0.275,Eph.Heptageniidae,E09,4
5,DSC_0008.JPG,40.69,25.208,69.964,0.152,Eph.Heptageniidae,E09,4
6,DSC_0008.JPG,46.194,26.428,95.667,0.166,Eph.Heptageniidae,E09,4
7,DSC_0008.JPG,67.116,41.782,139.073,0.182,Eph.Heptageniidae,E09,4
8,DSC_0008.JPG,43.981,27.845,109.955,0.278,Eph.Heptageniidae,E09,4
9,DSC_0008.JPG,59.501,47.581,80.776,0.125,Eph.Heptageniidae,E09,4
10,DSC_0008.JPG,44.381,27.667,58.093,0.246,Eph.Heptageniidae,E09,4
11,DSC_0008.JPG,47.4,24.793,99.078,0.135,Eph.Heptageniidae,E09,4
12,DSC_0008.JPG,24.427,12.371,79.333,1.025,Od.Damselflies,E09,4
13,DSC_0008.JPG,55.903,32.203,99.458,0.535,Od.Damselflies,E09,4
1,DSC_0008.JPG,61.08,41.04,91.929,0.527,Dip.ChironomidaeL,E09,4
2,DSC_0008.JPG,87.811,67.217,108.416,0.329,Dip.ChironomidaeL,E09,4
3,DSC_0008.JPG,81.248,58,121.667,0.277,Dip.ChironomidaeL,E09,4
4,DSC_0008.JPG,75.072,46.738,129.821,0.408,Dip.ChironomidaeL,E09,4
5,DSC_0008.JPG,74.557,41.177,178.935,0.313,Dip.ChironomidaeL,E09,4
6,DSC_0008.JPG,79.998,57.545,107.825,0.288,Dip.ChironomidaeL,E09,4
7,DSC_0008.JPG,85.16,58.22,135.006,0.36,Dip.ChironomidaeL,E09,4
8,DSC_0008.JPG,98.515,61.308,124.71,0.199,Dip.ChironomidaeL,E09,4
9,DSC_0008.JPG,117.412,84.197,144.303,0.219,Dip.ChironomidaeL,E09,4
10,DSC_0008.JPG,102.889,89.774,116.428,0.204,Dip.ChironomidaeL,E09,4
11,DSC_0008.JPG,113.15,88,120,0.06,Dip.ChironomidaeL,E09,4
12,DSC_0008.JPG,93.176,61.433,141.917,0.554,Tri.Polycentropidae,E09,4
13,DSC_0008.JPG,81.015,53.993,126.912,0.615,Tri.Polycentropidae,E09,4
1,DSC_0008.JPG,63.665,38.447,83.614,0.185,Eph.Trcorythidae,E09,4
2,DSC_0008.JPG,81.907,68.423,105.209,0.203,Eph.Trcorythidae,E09,4
3,DSC_0008.JPG,21.269,13.719,92.401,0.217,Col.ElmA,E09,4
1,DSC_0010.JPG,62.139,35.786,112.667,0.36,Eph.Heptageniidae,D09,1
2,DSC_0010.JPG,60.725,29.24,103.714,0.258,Eph.Heptageniidae,D09,1
3,DSC_0010.JPG,61.773,37.39,85.023,0.308,Eph.Heptageniidae,D09,1
4,DSC_0010.JPG,68.492,26.701,110.424,0.18,Eph.Heptageniidae,D09,1
5,DSC_0010.JPG,51.068,18.667,90.489,0.329,Eph.Heptageniidae,D09,1
6,DSC_0010.JPG,45.911,30.416,72.99,0.311,Eph.Heptageniidae,D09,1
7,DSC_0010.JPG,43.772,28.362,66.501,0.42,Eph.Heptageniidae,D09,1
8,DSC_0010.JPG,53.416,28.437,81.815,0.341,Eph.Heptageniidae,D09,1
9,DSC_0010.JPG,33.384,15.988,87.808,1.094,Eph.Heptageniidae,D09,1
10,DSC_0010.JPG,53.23,31.144,251.793,0.702,Od.Damselflies,D09,1
11,DSC_0010.JPG,21.481,13.667,70.083,0.982,Od.Damselflies,D09,1
12,DSC_0010.JPG,22.191,12.81,48.446,0.944,Od.Damselflies,D09,1
13,DSC_0010.JPG,52.195,18.607,140.585,0.67,Od.Damselflies,D09,1
1,DSC_0010.JPG,82.142,42.973,121.421,0.501,Tri.Polycentropidae,D09,1
2,DSC_0010.JPG,80.023,53.181,98.399,0.507,Tri.Polycentropidae,D09,1
3,DSC_0010.JPG,78.171,40.667,133.914,0.475,Col.ElmL,D09,1
4,DSC_0010.JPG,51.618,30.969,89.982,0.649,Col.ElmL,D09,1
5,DSC_0010.JPG,31.264,20.307,49.883,0.483,Col.Psephenidae,D09,1
6,DSC_0010.JPG,37.308,26.558,85.667,0.535,Col.Psephenidae,D09,1
1,DSC_0010.JPG,61.775,24,105.332,0.416,Dip.ChironomidaeP,D09,1
2,DSC_0010.JPG,80.777,37.675,136.333,0.421,Eph.Trcorythidae,D09,1
3,DSC_0010.JPG,70.983,44.796,120.33,0.445,Dip.ChironomidaeL,D09,1
4,DSC_0010.JPG,66.233,36.102,97.826,0.948,Megaloptera.miscM,D09,1
1,DSC_0012.JPG,58.644,17.613,157.866,0.928,Od.Damselflies,D09,2
2,DSC_0012.JPG,46.681,13.333,254.151,2.045,Od.Dragonflies,D09,2
3,DSC_0012.JPG,34.169,11.566,254.55,0.893,Od.Dragonflies,D09,2
1,DSC_0012.JPG,69.258,29.592,105.338,0.387,Eph.Heptageniidae,D09,2
2,DSC_0012.JPG,42.508,24.029,78.693,0.79,Eph.Heptageniidae,D09,2
3,DSC_0012.JPG,93.028,57.231,199.716,0.247,Eph.Heptageniidae,D09,2
4,DSC_0012.JPG,68.073,28.712,165.903,0.794,Eph.Polymitarcyidae,D09,2
5,DSC_0012.JPG,49.751,19.008,254.385,0.775,Col.Psephenidae,D09,2
1,DSC_0012.JPG,104.248,79.014,129.204,0.359,Tri.Polycentropidae,D09,2
2,DSC_0012.JPG,136.608,107.863,167.528,0.133,Dip.ChironomidaeL,D09,2
3,DSC_0012.JPG,68.673,29.652,124.902,0.284,Dip.ChironomidaeP,D09,2
1,DSC_0014.JPG,18.06,9,89.551,0.367,Col.ElmA,D09,3
2,DSC_0014.JPG,35.124,16.25,119.333,0.41,Col.ElmL,D09,3
3,DSC_0014.JPG,27.051,13.472,98.966,0.562,Col.Psephenidae,D09,3
1,DSC_0014.JPG,42.548,20.916,104.048,0.478,Eph.Heptageniidae,D09,3
2,DSC_0014.JPG,51.459,27.913,83.695,0.183,Eph.Heptageniidae,D09,3
3,DSC_0014.JPG,56.937,20.834,132.32,0.258,Eph.Heptageniidae,D09,3
4,DSC_0014.JPG,68.279,36.462,188.414,0.322,Eph.Heptageniidae,D09,3
5,DSC_0014.JPG,47.786,27.101,158.484,0.277,Eph.Heptageniidae,D09,3
6,DSC_0014.JPG,40.211,13.479,125.63,0.447,Eph.Heptageniidae,D09,3
7,DSC_0014.JPG,64.215,33.058,209.214,0.269,Eph.Heptageniidae,D09,3
8,DSC_0014.JPG,36.593,22.448,89.491,0.219,Eph.Heptageniidae,D09,3
1,DSC_0014.JPG,50.974,26.081,100.463,0.34,Od.Damselflies,D09,3
2,DSC_0014.JPG,66.385,43.877,134.287,0.292,Od.Damselflies,D09,3
3,DSC_0014.JPG,103.667,68.241,131.409,0.467,Tri.Polycentropidae,D09,3
1,DSC_0014.JPG,77.63,44.689,107.631,0.373,Dip.ChironomidaeP,D09,3
2,DSC_0014.JPG,46.469,32,147.903,0.314,Eph.Trcorythidae,D09,3
3,DSC_0014.JPG,69.627,39.885,120.15,0.232,Eph.Trcorythidae,D09,3
4,DSC_0014.JPG,21.615,16.166,29.479,0.217,Gas.Ancylidae,D09,3
5,DSC_0014.JPG,75.347,46.388,216.423,0.194,Gas.Ancylidae,D09,3
6,DSC_0014.JPG,75.44,50.202,203.043,0.303,Oligochaeta.misc,D09,3
1,DSC_0014.JPG,124.993,105.69,137.177,0.114,Dip.ChironomidaeL,D09,3
1,DSC_0016.JPG,46.073,20.586,156.804,0.599,Eph.Heptageniidae,D09,4
2,DSC_0016.JPG,61.057,30.736,92.277,0.11,Eph.Heptageniidae,D09,4
3,DSC_0016.JPG,67.775,34.011,98.306,0.157,Eph.Heptageniidae,D09,4
4,DSC_0016.JPG,47.537,20.72,172.051,0.24,Eph.Heptageniidae,D09,4
5,DSC_0016.JPG,53.881,29.277,73.366,0.359,Eph.Heptageniidae,D09,4
6,DSC_0016.JPG,61.221,28.513,85.003,0.279,Eph.Heptageniidae,D09,4
7,DSC_0016.JPG,61.001,37.827,117.143,0.442,Eph.Heptageniidae,D09,4
8,DSC_0016.JPG,53.045,21.633,119.667,0.227,Eph.Heptageniidae,D09,4
9,DSC_0016.JPG,51.71,15.887,84.857,0.296,Eph.Heptageniidae,D09,4
10,DSC_0016.JPG,62.143,27.003,85.59,0.452,Eph.Heptageniidae,D09,4
11,DSC_0016.JPG,72.036,32.142,128.888,0.091,Eph.Heptageniidae,D09,4
12,DSC_0016.JPG,56.656,21.522,107.81,0.206,Eph.Heptageniidae,D09,4
13,DSC_0016.JPG,67.661,42.369,111.261,0.144,Eph.Heptageniidae,D09,4
14,DSC_0016.JPG,74.691,38.112,132.424,0.216,Eph.HeptB,D09,4
1,DSC_0016.JPG,82.951,54.481,173.171,0.311,Dip.ChironomidaeL,D09,4
2,DSC_0016.JPG,70.292,30.775,202.255,0.675,Dip.ChironomidaeL,D09,4
3,DSC_0016.JPG,77.404,30.723,99.715,0.438,Dip.ChironomidaeL,D09,4
4,DSC_0016.JPG,64.532,44.55,97,0.419,Oligochaeta.misc,D09,4
5,DSC_0016.JPG,76.151,47.486,109.158,0.491,Dip.ChironomidaeL,D09,4
6,DSC_0016.JPG,92.919,70.931,111.359,0.104,Dip.ChironomidaeL,D09,4
7,DSC_0016.JPG,69.489,48.167,96.904,0.435,Col.ElmL,D09,4
1,DSC_0016.JPG,57.849,24.847,158.933,0.439,Od.Damselflies,D09,4
2,DSC_0016.JPG,35.381,20.459,186.236,0.562,Od.Damselflies,D09,4
3,DSC_0016.JPG,27.033,14.82,214.88,0.481,Od.Damselflies,D09,4
4,DSC_0016.JPG,21.652,10.411,141.052,0.675,Col.Psephenidae,D09,4
5,DSC_0016.JPG,81.018,56.507,112.584,0.187,Dip.ChironomidaeL,D09,4
1,DSC_0018.JPG,58.091,32.478,75.994,0.275,Eph.Heptageniidae,A05,1
2,DSC_0018.JPG,52.845,28.4,91.192,0.204,Eph.Heptageniidae,A05,1
3,DSC_0018.JPG,58.325,43.397,78.508,0.177,Eph.Heptageniidae,A05,1
4,DSC_0018.JPG,80.169,27.916,139.411,0.639,Dip.ChironomidaeL,A05,1
5,DSC_0018.JPG,64.476,37.358,168.879,0.514,Dip.ChironomidaeL,A05,1
1,DSC_0018.JPG,70.657,55.339,119.617,0.143,Eph.Trcorythidae,A05,1
1,DSC_0020.JPG,42.701,18.522,127.505,0.592,Eph.Heptageniidae,A05,2
2,DSC_0020.JPG,74.199,49.639,118.363,0.283,Dip.ChironomidaeL,A05,2
3,DSC_0020.JPG,78.193,24.667,127.169,0.207,Eph.Heptageniidae,A05,2
4,DSC_0020.JPG,40.604,13.563,103.503,1.462,Eph.Polymitarcyidae,A05,2
1,DSC_0022.JPG,96.96,66.187,131.804,0.228,Dip.ChironomidaeL,A05,3
2,DSC_0022.JPG,101.752,71.251,158.483,0.443,Dip.ChironomidaeL,A05,3
3,DSC_0022.JPG,72.049,50.251,92.299,0.588,Tri.Polycentropidae,A05,3
4,DSC_0022.JPG,54.062,27.25,88,0.199,Od.Damselflies,A05,3
1,DSC_0024.JPG,92.263,51.642,201.308,0.55,Dip.ChironomidaeL,A05,4
2,DSC_0024.JPG,40.706,29.841,65.039,0.102,Eph.Heptageniidae,A05,4
3,DSC_0024.JPG,115.213,87.826,138.98,0.164,Dip.ChironomidaeL,A05,4
4,DSC_0024.JPG,69.331,37.031,117,0.418,Dip.ChironomidaeL,A05,4
1,DSC_0026.JPG,74.037,20.264,125.218,0.291,Eph.Heptageniidae,B06,1
2,DSC_0026.JPG,61.394,20.08,110.687,0.161,Eph.Heptageniidae,B06,1
3,DSC_0026.JPG,36.753,18.333,78.374,0.457,Eph.Heptageniidae,B06,1
4,DSC_0026.JPG,44.869,27.55,85.767,0.262,Eph.Heptageniidae,B06,1
