"","TEid","Week","ID","Unit","GTreat","Month","Depth","Velocity","Total Fish","Prob.  Fish","Prob.Lepomis","Log(probFish+1)","Enc2","TreatA","Treatment","ChlA.ug.cm2","AFDMg.cm2","sdAFDM","ChlA.g.cm2","AutoIndex","Structure"
"57","w12A07","w12",20,"A7","ACTSHAM","Oct",0.5,0.033,0,0,0,0,"A07","ACTS","ACTS",0.719243501301608,0.000175967823026655,1.77754344189661e-05,7.19243501301608e-07,244.656813315946,2.625
"58","w12A08","w12",2,"A8","ACTLIVE","Oct",0.42,0.021,14,0.583333333,0.583333333,0.199572354813774,"A08","ACTL","ACTL",0.719243501301609,0.00043363499245853,2.6663151628449e-05,7.19243501301608e-07,602.904289957135,3.85
"59","w12A09","w12",33,"A9","AMBSHAM","Oct",0.4,0.012,8,0.333333333,0.333333333,0.124938736499726,"A09","AMBS","AMBS",0.359621750650804,0.000400326797385613,0.000219526615074282,3.59621750650804e-07,1113.18850058748,2
"60","w12A10","w12",11,"A10","ACTSHAM","Oct",0.46,0,16,0.666666667,0.666666667,0.221848749703215,"A10","ACTS","ACTS",2.33754137923023,0.000233785822021124,3.19957819541389e-05,2.33754137923023e-06,100.013554454429,1.95
"61","w12B01","w12",43,"B1","CONTROL","Oct",0.6,0.004,1,0.041666667,0.041666667,0.0177287670994059,"B01","CTRL","CTRL",0.764196220132959,0.00026395173453998,4.9771216373105e-05,7.64196220132959e-07,345.397854093097,NA
"62","w12B02","w12",34,"B2","AMBSHAM","Oct",0.5,0.026,2,0.083333333,0.041666667,0.0347621061255828,"B02","AMBS","AMBS",0.539432625976206,0.000113122171945722,3.19957819541389e-05,5.39432625976206e-07,209.705839985126,1.85
"63","w12B03","w12",38,"B3","AMBSHAM","Oct",0.53,0.017,0,0,0,0,"B03","AMBS","AMBS",-4.194088666965,0.000233785822021107,5.33263032569218e-05,-4.194088666965e-06,-55.7417452479094,2.11111111111111
"64","w12B04","w12",22,"B4","AMBLIVE","Oct",0.43,0.001,13,0.541666667,0.541666667,0.18799048244929,"B04","AMBL","AMBL",0.764196220132959,0.000310457516339871,0,7.64196220132959e-07,406.253666480915,2.65
"65","w12B05","w12",12,"B5","ACTSHAM","Oct",0.5,0.017,1,0.083333333,0.083333333,0.0347621061255828,"B05","ACTS","ACTS",1.66325059675997,0.000246354952237317,4.9771216373105e-05,1.66325059675997e-06,148.116557250735,2.27777777777778
"66","w12B06","w12",39,"B6","AMBSHAM","Oct",0.5,0.003,0,0,0,0,"B06","AMBS","AMBS",1.03391253312106,0.00021430367018603,4.88824446521566e-05,1.03391253312106e-06,207.274467927295,1.65
"67","w12B07","w12",23,"B7","AMBLIVE","Oct",0.47,0.019,9,0.375,0.333333333,0.138302698166281,"B07","AMBL","AMBL",0.85410165779566,0.00039592760180995,6.22140204663812e-05,8.5410165779566e-07,463.560277861765,1.83333333333333
"68","w12B08","w12",49,"B8","CONTROL","Oct",0.56,0.004,0,0,0,0,"B08","CTRL","CTRL",0.89905437662701,0.000965309200603296,0.000255966255633135,8.99054376627011e-07,1073.69390072362,NA
"69","w12B09","w12",3,"B9","ACTLIVE","Oct",0.48,0.01,4,0.166666667,0.166666667,0.0669467897546973,"B09","ACTL","ACTL",0.764196220132959,0.000522875816993473,0.000113762780281414,7.64196220132959e-07,684.21670144155,3.83333333333333
"70","w12B10","w12",30,"B10","AMBLIVE","Oct",0.58,0,0,0,0,0,"B10","AMBL","AMBL",1.97791962857942,0.000563725490196071,0.000150202420840289,1.97791962857942e-06,285.009300707,2.15
"71","w12C01","w12",4,"C1","ACTLIVE","Oct",0.58,0.02,7,0.291666667,0.291666667,0.111150452234743,"C01","ACTL","ACTL",0.89905437662701,0.000467571644042231,0.000127983127816579,8.99054376627011e-07,520.070483163013,2.95
"72","w12C02","w12",5,"C2","ACTLIVE","Oct",0.59,0.025,3,0.125,0.083333333,0.0511525224473813,"C02","ACTL","ACTL",0.539432625976206,0.00023504273504274,9.77648893043133e-05,5.39432625976206e-07,435.722134191245,2
"73","w12C03","w12",44,"C3","CONTROL","Oct",0.58,0.02,3,0.125,0.125,0.0511525224473813,"C03","CTRL","CTRL",0.674290782470258,0.000304172951231772,5.8658933582588e-05,6.74290782470258e-07,451.100562456804,NA
"74","w12C04","w12",6,"C4","ACTLIVE","Oct",0.56,0.015,6,0.25,0.208333333,0.0969100130080564,"C04","ACTL","ACTL",0.539432625976206,0.000173453996983406,1.06652606514033e-05,5.39432625976206e-07,321.548954643795,1.15
"75","w12C05","w12",24,"C5","AMBLIVE","Oct",0.48,0.008,4,0.166666667,0.166666667,0.0669467897546973,"C05","AMBL","AMBL",0.314669031819454,0.000541101055806937,5.5992618419743e-05,3.14669031819454e-07,1719.58788787771,3.2
"76","w12C06","w12",9,"C6","ACTLIVE","Oct",0.59,0.025,0,0,0,0,"C06","ACTL","ACTL",0.224763594156753,0.000452488687782811,0.000159978909770734,2.24763594156753e-07,2013.17606385686,2.66666666666667
"77","w12C07","w12",36,"C7","AMBSHAM","Oct",0.54,0.024,15,0.625,0.625,0.210853365314893,"C07","AMBS","AMBS",1.39353428377187,0.000442433383609872,8.53220852110686e-05,1.39353428377187e-06,317.490131934424,2.15
"78","w12C08","w12",25,"C8","AMBLIVE","Oct",0.59,0.027,1,0.041666667,0.041666667,0.0177287670994059,"C08","AMBL","AMBL",0.269716312988103,0.000452488687782781,0.00015997890977073,2.69716312988103e-07,1677.6467198806,1.7
"79","w12C09","w12",13,"C9","ACTSHAM","Oct",0.61,0.022,1,0.041666667,0.041666667,0.0177287670994059,"C09","ACTS","ACTS",0.539432625976206,0.000326797385620907,0.000106652606513836,5.39432625976206e-07,605.816871068013,2.1
"80","w12C10","w12",35,"C10","AMBSHAM","Oct",0.57,0.031,2,0.083333333,0.083333333,0.0347621061255828,"C10","AMBS","AMBS",0.629338063638907,0.00217760180995476,0.00262632043540253,6.29338063638907e-07,3460.14635975395,2.38888888888889
"81","w12D01","w12",14,"D1","ACTSHAM","Oct",0.55,0,1,0.041666667,0.041666667,0.0177287670994059,"D01","ACTS","ACTS",1.43848700260322,0.00015837104072399,7.99894548853472e-05,1.43848700260322e-06,110.095565992176,2.11111111111111
"82","w12D02","w12",15,"D2","ACTSHAM","Oct",0.53,0,4,0.222222222,0,0.0871501756399376,"D02","ACTS","ACTS",3.05678488053184,0.000233785822021107,3.19957819541152e-05,3.05678488053184e-06,76.4809534063227,1.75
"83","w12D03","w12",26,"D3","AMBLIVE","Oct",0.5,0,14,0.583333333,0.583333333,0.199572354813774,"D03","AMBL","AMBL",2.96687944286913,0.000301659125188537,0,2.96687944286913e-06,101.675558780648,1.77777777777778
"84","w12D04","w12",45,"D4","CONTROL","Oct",0.6,0,4,0.166666667,0.125,0.0669467897546973,"D04","CTRL","CTRL",0.359621750650804,0.000339366515837109,0,3.59621750650804e-07,943.676279932902,NA
"85","w12D05","w12",46,"D5","CONTROL","Oct",0.49,0,6,0.25,0.208333333,0.0969100130080564,"D05","CTRL","CTRL",1.39353428377187,0.000610859728506787,0.000757233506248049,1.39353428377187e-06,438.352852613987,NA
"86","w12D06","w12",27,"D6","AMBLIVE","Oct",0.59,0.002,1,0.041666667,0.041666667,0.0177287670994059,"D06","AMBL","AMBL",0.584385344807557,0.000392156862745099,0.000156423822886901,5.84385344807557e-07,671.05868795228,2.65
"87","w12D07","w12",7,"D7","ACTLIVE","Oct",0.59,0.009,1,0.041666667,0,0.0177287670994059,"D07","ACTL","ACTL",0.89905437662701,0.000120663650075418,2.13305213027356e-05,8.9905437662701e-07,134.211737590459,1.88888888888889
"88","w12D08","w12",40,"D8","AMBSHAM","Oct",0.61,0.013,0,0,0,0,"D08","AMBS","AMBS",0.494479907144856,0.000220588235294118,7.99894548853473e-06,4.94479907144856e-07,446.101514150095,1.78571428571429
"89","w12D09","w12",16,"D9","ACTSHAM","Oct",0.58,0.013,6,0.25,0.25,0.0969100130080564,"D09","ACTS","ACTS",2.15773050390482,0.000387129210658619,0.000124428040932762,2.15773050390483e-06,179.414996431684,3.27777777777778
"90","w12D10","w12",50,"D10","CONTROL","Oct",0.65,0,0,0,0,0,"D10","CTRL","CTRL",0.719243501301608,9.04977375565511e-05,9.59873458624167e-05,7.19243501301608e-07,125.823503991038,NA
"91","w12E01","w12",28,"E1","AMBLIVE","Oct",0.55,0.006,2,0.083333333,0.041666667,0.0347621061255828,"E01","AMBL","AMBL",2.87697400520643,0.000154600301659119,0.000253650528790973,2.87697400520643e-06,53.7371214961764,1.11111111111111
"92","w12E02","w12",37,"E2","AMBSHAM","Oct",0.62,0.034,6,0.25,0.25,0.0969100130080564,"E02","AMBS","AMBS",1.30362884610917,0.000286576168929112,NA,1.30362884610917e-06,219.829570191265,1.65
"93","w12E03","w12",18,"E3","ACTSHAM","Oct",0.58,0.034,2,0.083333333,0.083333333,0.0347621061255828,"E03","ACTS","ACTS",1.97791962857942,0.000173453996983406,2.13305213027593e-05,1.97791962857942e-06,87.6951694483077,3.2
"94","w12E04","w12",29,"E4","AMBLIVE","Oct",0.63,0.01,3,0.125,0.041666667,0.0511525224473813,"E04","AMBL","AMBL",0.539432625976206,0.000150829562594252,0.000106652606513796,5.39432625976206e-07,279.607786646751,1.5
"95","w12E05","w12",47,"E5","CONTROL","Oct",0.67,0.035,1,0.083333333,0.083333333,0.0347621061255828,"E05","CTRL","CTRL",1.03391253312106,6.59879336349852e-05,1.86642061399144e-05,1.03391253312106e-06,63.8235165171932,NA
"96","w12E06","w12",10,"E6","ACTLIVE","Oct",0.58,0.014,0,0,0,0,"E06","ACTL","ACTL",1.34858156494052,0.000482654600301656,6.39915639083015e-05,1.34858156494052e-06,357.897966907879,3.05
"97","w12E07","w12",19,"E7","ACTSHAM","Oct",0.6,0.008,5,0.208333333,0.208333333,0.0821867560675447,"E07","ACTS","ACTS",-0.134858156494052,0.000103695324283548,3.99947274426736e-05,-1.34858156494052e-07,-768.921413278562,1.22222222222222
"98","w12E08","w12",48,"E8","CONTROL","Oct",0.72,0.017,2,0.083333333,0.083333333,0.0347621061255828,"E08","CTRL","CTRL",0.269716312988103,0.000437405731523364,0.000106652606513796,2.69716312988103e-07,1621.72516255128,NA
"99","w12E09","w12",8,"E9","ACTLIVE","Oct",0.7,0.012,12,0.5,0.5,0.176091259055681,"E09","ACTL","ACTL",0.674290782470258,0.00013197586726997,3.73284122798287e-05,6.74290782470258e-07,195.725450652726,1.2
"100","w12E10","w12",17,"E10","ACTSHAM","Oct",0.65,0.014,1,0.041666667,0,0.0177287670994059,"E10","ACTS","ACTS",-0.584385344807557,0.000273378582202123,6.66578790711227e-05,-5.84385344807557e-07,-467.805335351367,3.65
