"Treatment" "Taxa" "FFG"
"74" "ACTL" "Od.Damselflies" "Predator"
"75" "ACTL" "Tri.Hydroptilidae" "Herbivore"
"76" "CTRL" "Dip.ChironomidaeP" "C-Gatherer"
"77" "AMBL" "Eph.Leptophlebiidae" "C-Gatherer"
"78" "AMBS" "Dip.ChironomidaeP" "C-Gatherer"
"79" "CTRL" "Oligochaeta.misc" "C-Gatherer"
"80" "AMBL" "Od.Damselflies" "Predator"
"81" "AMBL" "Dip.ChironomidaeP" "C-Gatherer"
"82" "CTRL" "Eph.Leptophlebiidae" "C-Gatherer"
"83" "ACTS" "Tri.Leptoceridae" "Predator"
"84" "AMBS" "Eph.Leptophlebiidae" "C-Gatherer"
"85" "ACTL" "Oligochaeta.misc" "C-Gatherer"
"86" "CTRL" "Hirudinea.leach" "Parasite"
"87" "AMBL" "Oligochaeta.misc" "C-Gatherer"
"88" "CTRL" "Gas.Physidae" "Herbivore"
"89" "AMBS" "Dip.Other" "Shredder"
"90" "ACTS" "Od.Damselflies" "Predator"
"91" "AMBL" "Col.ElmL" "C-Gatherer"
"92" "ACTS" "Gas.miscG" "Herbivore"
"93" "CTRL" "Tri.Helicophyche" "Herbivore"
"94" "AMBS" "Tri.Lepidostomatidae" "Shredder"
"95" "ACTL" "FLAT WORMS" "Predator"
"96" "ACTL" "Tri.Helicophyche" "Herbivore"
"97" "AMBL" "Entom.Isotomidae" "C-Gatherer"
"98" "AMBS" "Sisyridae" "Predator"
"99" "AMBS" "Tri.Molannidae" "Herbivore"
"100" "AMBL" "Isopoda.miscI" "C-Gatherer"
"101" "CTRL" "Col.ElmA" "C-Gatherer"
"102" "CTRL" "Tri.Hydroptilidae" "Herbivore"
"103" "ACTS" "Tri.Hydroptilidae" "Herbivore"
"104" "ACTS" "Tri.Helicophyche" "Herbivore"
"105" "AMBS" "Tri.Hydroptilidae" "Herbivore"
"106" "ACTS" "Sisyridae" "Predator"
"107" "ACTL" "Dip.Other" "Shredder"
"108" "ACTS" "Col.ElmL" "C-Gatherer"
"109" "AMBS" "Gas.miscG" "Herbivore"
"110" "AMBS" "Col.ElmA" "C-Gatherer"
"111" "AMBL" "Tri.Helicophyche" "Herbivore"
"112" "CTRL" "Tri.Leptoceridae" "Predator"
"113" "AMBL" "Col.ElmA" "C-Gatherer"
"114" "ACTL" "Col.ElmL" "C-Gatherer"
"115" "ACTS" "Col.ElmA" "C-Gatherer"
"116" "ACTL" "Col.ElmA" "C-Gatherer"
"117" "AMBL" "Hirudinea.leach" "Parasite"
"118" "CTRL" "Od.Dragonflies" "Predator"
"119" "AMBL" "Tri.Leptoceridae" "Predator"
"120" NA "" NA
"121" "ACTL" "Tri.Molannidae" "Herbivore"
"122" "AMBS" "Tri.Leptoceridae" "Predator"
"123" "AMBL" "Eph.Polymitarcyidae" "C-Gatherer"
"124" "AMBS" "Tri.Helicophyche" "Herbivore"
"125" "AMBS" "Col.ElmL" "C-Gatherer"
"126" "AMBL" "Od.Dragonflies" "Predator"
"127" "ACTS" "Arguloida.Arguilidae" "Parasite"
"128" "ACTS" "Eph.Baetidae" "C-Gatherer"
"129" "ACTL" "Hemiptera" "Predator"
"130" "ACTS" "Tri.Molannidae" "Herbivore"
"131" "ACTL" "Tri.Leptoceridae" "Predator"
"132" "CTRL" "Eph.Polymitarcyidae" "C-Gatherer"
"133" "CTRL" "Tri.Molannidae" "Herbivore"
"134" "AMBS" "Col.Psephenidae" "Herbivore"
"135" "CTRL" "Tri.Lepidostomatidae" "Shredder"
"136" "AMBS" "Od.Dragonflies" "Predator"
"137" "AMBL" "Col.Psephenidae" "Herbivore"
"138" "AMBS" "Col.Staphylinidae" "Predator"
"139" "ACTL" "Col.Psephenidae" "Herbivore"
"140" "CTRL" "Col.ElmL" "C-Gatherer"
"141" "ACTL" "Eph.Polymitarcyidae" "C-Gatherer"
"142" "ACTS" "Tri.Lepidostomatidae" "Shredder"
"143" "ACTL" "Od.Dragonflies" "Predator"
"144" "ACTS" "Od.Dragonflies" "Predator"
"145" "AMBL" "Eph.Myst" "C-Gatherer"
"146" "ACTS" "Eph.LeptA" "C-Gatherer"
"147" "AMBS" "Eph.LeptA" "C-Gatherer"
"148" "ACTL" "Eph.LeptA" "C-Gatherer"
"149" "CTRL" "Col.Psephenidae" "Herbivore"
"150" "ACTS" "Col.Psephenidae" "Herbivore"
"151" "AMBS" "Eph.Polymitarcyidae" "C-Gatherer"
"152" "ACTL" "Col.Hydrophilidae" "Predator"
"153" "CTRL" "Arguloida.Arguilidae" "Parasite"
"154" "ACTS" "Plecoptera.Perlidae" "Predator"
"155" "ACTL" "Plecoptera.Perlidae" "Predator"
"156" "CTRL" "Megaloptera.miscM" "Predator"
"157" "ACTS" "Megaloptera.miscM" "Predator"
"158" "AMBL" "Megaloptera.miscM" "Predator"
